LGA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
LGA54130,227,5,0,0,5,11,241,66,3,0,0,3,6,73,131,3,0,0,3,4,141,136,8,0,0,8,7,150,182,3,0,0,3,6,192,148,4,0,0,4,4,155,70,0,0,0,0,0,72,27,0,0,0,0,0,30,3,0,0,0,0,0,8,985,23,0,0,27,39,1054,192,4,0,0,4,40,231,59,4,0,0,4,3,75,126,9,0,0,9,30,161,101,3,0,0,3,17,119,156,5,0,0,5,18,175,166,8,0,0,8,22,189,89,0,0,0,0,10,101,37,0,0,0,0,13,48,7,0,0,0,0,0,7,933,26,0,0,26,145,1106,218,8,5,0,10,19,252,77,0,0,0,4,12,90,115,12,0,0,12,10,137,137,8,0,0,8,12,158,120,8,0,0,8,21,148,171,4,0,0,4,18,191,122,3,0,0,3,12,133,40,4,0,0,4,0,46,9,0,0,0
LGA54170,26412,1816,389,60,2266,781,29458,20297,1966,75,22,2070,726,23091,13823,1826,77,15,1916,664,16399,18838,2369,92,17,2481,670,21989,21196,2494,145,20,2655,708,24564,17677,1972,164,27,2168,569,20411,8229,865,121,12,1000,257,9489,4294,384,151,12,548,186,5023,1657,131,54,10,190,129,1974,132425,13825,1277,193,15297,4684,152403,26119,2056,482,42,2586,821,29519,18018,1835,80,11,1921,655,20594,14095,2287,142,11,2448,732,17271,17145,2708,128,17,2853,772,20772,20024,2534,155,14,2704,772,23507,17751,2101,224,21,2343,801,20890,11853,1283,145,8,1447,539,13834,4656,566,152,4,720,276,5654,1995,170,62,4,232,177,2404,131655,15543,1575,137,17255,5536,154443,26345,2415,405,143,2957,553,29848,17333,1504,36,0,1547,420,19300,13737,1887,65,5,1955,592,16285,17403,3149,115,0,3262,672,21336,19403,2521,151,4,2674,693,22768,18839,2113,199,5,2316,592,21744,15774,1611,265,10,1884,437,18096,6745,669,151,7,821,279,7853,2288,229,100,0
LGA54200,9368,539,149,22,711,503,10586,6624,417,31,4,457,306,7380,5351,540,45,7,590,306,6252,6326,683,69,10,757,378,7465,6614,527,37,5,563,311,7494,6110,495,49,3,554,269,6938,3891,284,39,0,327,151,4375,1890,234,64,4,302,123,2314,570,88,20,0,113,84,770,46755,3813,494,69,4378,2440,53566,9360,1039,286,27,1350,469,11180,6215,666,15,7,686,314,7217,5487,1084,78,9,1170,424,7080,5937,1277,87,9,1377,370,7677,6673,828,83,15,929,368,7966,5893,546,73,4,620,399,6912,4820,370,44,8,423,311,5561,2419,230,50,0,274,240,2935,659,91,28,0,120,144,921,47467,6122,746,74,6944,3041,57451,9355,1336,241,79,1658,347,11358,5834,696,19,4,712,226,6770,5118,942,63,7,1012,322,6450,6020,1516,86,3,1604,343,7970,6543,945,99,0,1047,298,7889,6244,578,105,0,687,283,7218,5501,444,67,3,514,206,6227,3172,213,40,0,254,167,3593,1062,101,31,0
LGA54280,5928,464,88,11,560,806,7288,3696,382,14,0,394,514,4596,4187,585,27,3,614,685,5489,3826,596,39,3,636,556,5016,3549,341,12,0,354,498,4400,2211,155,13,3,173,272,2655,870,50,4,7,63,110,1046,358,28,3,0,33,56,450,124,13,6,0,19,16,162,24750,2606,201,33,2840,3514,31107,5624,597,114,25,729,539,6898,3094,401,17,8,424,329,3849,3997,713,37,15,758,561,5318,3300,739,26,7,768,466,4532,3303,458,25,7,489,412,4202,2569,207,16,5,228,370,3167,1169,69,7,0,78,140,1385,444,35,9,0,41,66,555,115,15,7,0,19,17,149,23610,3240,249,54,3540,2901,30053,5084,671,109,42,814,599,6492,2845,384,20,5,406,365,3610,3423,778,36,5,819,572,4812,3031,845,37,3,887,480,4401,2937,549,30,0,583,402,3915,2792,265,25,4,290,330,3416,1469,92,31,0,114,198,1782,560,39,0,0,39,74,678,157,18,0,0
LGA54310,3513,308,84,8,401,784,4702,2070,188,20,3,209,581,2857,3304,487,49,3,541,1035,4892,3005,504,79,8,588,1008,4604,2441,314,70,6,385,777,3608,1212,178,26,3,208,391,1811,232,34,6,0,39,73,351,45,9,0,0,15,9,69,9,4,0,0,4,3,15,15843,2024,336,28,2392,4662,22903,4337,412,102,20,531,435,5309,1812,306,7,5,325,282,2415,3201,649,30,10,691,696,4590,2864,563,25,5,593,527,3982,2150,377,24,6,406,453,3005,1232,168,11,5,182,216,1635,310,48,7,0,52,68,434,52,13,0,0,14,11,82,10,6,0,0,3,0,17,15982,2539,216,42,2798,2696,21472,4323,461,76,33,567,752,5642,1692,270,0,0,268,403,2369,2706,591,29,0,621,786,4115,2895,663,30,4,695,763,4351,2182,428,25,0,453,505,3142,1318,193,17,0,215,336,1864,386,78,13,0,86,104,574,88,27,0,0,28,24,135,12,0,0,0
LGA54340,778,128,65,9,202,44,1020,380,69,18,0,88,10,485,349,76,34,0,113,23,480,413,52,69,0,124,18,559,460,65,50,0,112,15,584,383,48,26,0,76,22,484,276,19,22,3,40,13,323,160,5,7,0,13,6,184,52,8,3,0,10,0,62,3261,471,295,15,775,150,4182,563,102,60,0,161,116,839,326,74,29,0,101,49,474,310,77,46,3,123,65,507,315,75,56,6,129,56,509,379,49,57,0,107,82,571,396,47,37,0,86,66,551,267,31,32,0,60,47,378,182,10,15,0,28,30,237,64,8,4,0,10,15,94,2803,472,333,11,818,528,4150,520,115,33,6,161,105,782,362,80,13,0,87,53,503,341,102,32,6,135,54,531,292,86,39,0,129,60,486,340,46,60,0,107,41,489,395,52,37,0,83,34,518,321,35,37,0,71,34,427,183,10,14,0,27,17,232,78,6,4,0
LGA54410,249,3,0,0,5,14,261,89,5,0,0,5,12,105,104,3,0,0,3,4,113,121,3,0,0,5,7,128,163,9,0,0,9,6,173,142,4,0,0,4,4,153,115,5,0,0,5,14,133,77,6,0,0,6,0,83,31,0,0,0,0,0,31,1088,40,0,0,43,48,1178,194,5,0,0,3,14,217,84,0,0,0,0,16,101,97,14,0,0,11,10,121,101,6,0,0,5,7,121,181,0,0,0,0,18,199,147,0,0,0,0,12,162,130,7,0,0,7,15,150,96,0,0,0,0,13,108,33,3,0,0,3,9,51,1060,33,6,0,39,127,1224,128,3,0,0,9,19,147,94,3,0,0,3,12,109,71,12,0,0,12,12,93,98,13,0,0,13,5,119,131,4,0,0,4,21,154,164,10,0,0,11,33,206,138,0,0,0,0,8,153,100,3,0,0,3,11,114,41,0,0,0
LGA54480,113,3,0,0,6,5,124,31,0,0,0,0,0,31,81,0,0,0,0,0,81,83,0,0,0,0,0,87,74,0,0,0,0,8,75,72,0,0,0,0,3,72,33,0,0,0,0,0,33,6,0,0,0,0,0,6,0,0,0,0,0,0,0,499,8,0,0,10,9,514,109,5,0,0,4,17,132,34,0,0,0,0,0,31,47,0,0,0,0,12,65,81,0,0,0,0,18,99,79,0,0,0,0,10,88,61,0,0,0,0,7,66,49,0,0,0,0,9,58,13,0,0,0,0,4,16,4,0,0,0,0,0,4,472,9,0,0,14,73,563,106,0,0,0,0,12,120,36,6,0,0,6,3,41,47,5,0,0,5,7,59,69,3,0,0,3,12,84,66,3,0,0,3,7,84,42,0,0,0,0,4,47,29,0,0,0,0,4,32,17,0,0,0,0,5,19,0,0,0,0
LGA54550,396,8,0,0,11,16,423,168,11,0,0,11,7,186,203,7,0,0,7,10,217,239,10,0,0,10,0,250,291,9,0,0,9,11,308,244,9,0,0,9,5,262,165,8,0,0,8,4,175,104,19,0,0,19,6,127,29,6,0,0,6,0,36,1856,76,0,0,76,51,1981,369,12,4,0,16,34,417,122,0,0,0,3,15,143,193,14,0,0,15,18,230,184,9,0,0,9,15,206,265,13,0,0,13,31,310,253,9,0,0,9,23,284,184,3,0,0,3,20,211,103,5,0,0,5,18,123,44,4,0,0,4,16,58,1722,62,6,5,75,185,1981,335,11,0,0,17,20,372,123,4,0,0,4,8,137,144,17,0,0,20,17,179,203,29,0,0,28,18,249,202,6,4,0,9,23,236,260,6,5,0,9,29,305,199,5,0,0,7,19,222,131,4,0,0,4,14,150,50,3,0,0
LGA54620,190,4,3,0,3,0,195,79,0,3,0,5,9,92,147,4,0,0,4,19,174,144,11,0,0,11,13,164,154,5,0,0,5,11,168,123,5,0,0,5,8,133,70,0,0,0,0,7,75,22,0,0,0,0,0,27,10,0,0,0,0,0,8,949,26,3,0,31,66,1043,144,6,0,0,9,14,168,42,0,0,0,0,0,46,88,17,0,0,17,10,114,106,7,0,0,7,6,121,117,3,0,0,3,12,129,121,3,3,0,4,9,139,80,3,0,0,3,4,90,45,0,0,0,0,4,49,12,0,0,0,0,0,12,760,39,3,0,44,71,875,111,5,0,0,6,24,145,64,0,0,0,0,9,74,65,4,0,0,4,8,82,89,4,0,0,3,19,114,112,3,0,0,3,10,125,112,4,0,0,4,18,130,86,0,0,0,4,16,110,46,0,0,0,0,5,51,12,0,0,0
LGA54690,101,0,0,0,4,0,100,28,0,0,0,0,3,31,53,3,0,0,3,0,58,44,0,0,0,0,0,49,56,0,0,0,0,0,63,57,0,0,0,0,0,64,43,0,0,0,0,5,48,27,0,0,0,0,0,27,4,0,0,0,0,0,3,418,6,4,0,14,11,438,84,0,0,0,0,0,87,21,0,0,0,0,0,20,37,0,0,0,0,3,39,48,0,0,0,0,0,54,49,0,0,0,0,3,56,81,0,0,0,0,5,86,41,0,0,0,0,3,49,22,0,0,0,0,0,24,9,0,0,0,0,0,9,390,0,0,0,0,23,415,64,0,0,0,0,0,64,17,0,0,0,0,0,14,26,0,0,0,0,0,28,41,0,0,0,0,0,41,53,0,0,0,0,5,56,63,0,0,0,0,0,69,55,0,4,0,4,0,60,24,0,0,0,0,0,27,6,0,0,0
LGA54760,198,3,0,0,3,3,206,27,0,0,0,0,0,27,97,0,0,0,4,0,102,125,9,3,0,9,8,138,113,3,0,0,0,0,120,122,5,0,0,5,3,132,62,0,0,0,0,0,62,29,0,0,0,0,0,34,10,0,0,0,0,0,11,788,25,4,4,28,13,826,144,0,0,0,0,9,156,46,0,0,0,0,6,54,71,4,0,0,4,3,81,100,5,0,0,5,7,111,108,7,0,0,7,13,129,96,7,0,0,7,0,105,73,5,0,0,5,5,81,35,0,0,0,0,0,41,14,0,0,0,0,4,13,690,24,0,0,26,54,764,143,0,0,0,4,19,163,39,0,0,0,0,4,41,64,4,0,0,4,9,78,91,0,0,0,0,11,107,101,3,0,0,5,11,117,98,0,0,0,0,8,114,85,3,0,0,3,11,94,43,0,0,0,0,3,43,11,0,0,0
LGA54830,5597,450,122,11,585,518,6702,3405,289,12,3,299,411,4115,3974,588,50,7,636,555,5169,3380,511,69,10,584,447,4418,2838,303,38,3,347,276,3452,2201,189,39,3,228,198,2627,1399,116,28,0,147,107,1650,695,47,16,0,69,72,841,193,23,10,0,29,33,253,23678,2516,372,48,2934,2617,29227,6652,1106,345,63,1511,518,8682,3772,859,24,6,891,506,5170,4873,1739,83,12,1835,871,7579,3698,1502,115,11,1631,626,5957,3356,781,94,7,880,401,4638,2619,319,93,4,418,266,3304,1712,176,52,3,231,217,2160,886,72,30,5,103,109,1103,250,23,11,0,35,39,325,27812,6587,842,109,7539,3563,38921,7852,1625,309,125,2059,501,10410,4088,1117,9,5,1131,424,5642,5240,1655,65,4,1726,886,7857,4516,2383,110,3,2492,706,7718,3824,1321,111,4,1430,411,5670,3246,512,147,3,652,228,4134,2235,238,105,4,339,139,2717,1097,109,47,6,158,54,1314,351,24,17,0
LGA54900,266,11,5,0,19,5,295,88,6,0,0,6,7,97,167,0,0,0,0,3,169,189,10,0,0,11,5,211,223,10,0,0,10,3,235,183,0,0,0,0,9,195,79,4,0,0,4,6,90,45,4,0,0,4,0,52,8,0,0,0,0,3,12,1258,55,3,0,59,43,1358,240,8,6,0,11,30,280,74,5,0,0,5,3,82,137,16,0,0,16,18,171,153,11,0,0,13,16,177,165,8,0,0,8,12,185,167,4,0,0,4,16,194,97,0,0,0,0,16,111,48,0,0,0,0,3,57,10,0,0,0,0,0,11,1085,54,3,0,60,116,1266,229,10,0,0,14,11,251,98,10,0,0,10,14,119,129,11,0,0,7,8,144,146,18,0,0,21,14,178,145,15,0,0,13,14,173,180,5,0,0,5,15,200,119,5,0,0,5,4,128,51,4,0,0,4,4,67,12,5,0,0
LGA54970,101,38,8,0,49,12,155,114,47,0,0,47,21,181,169,34,0,0,36,20,232,164,49,0,0,49,33,245,148,40,6,0,41,22,213,101,19,0,0,21,17,139,40,12,0,0,12,4,55,10,4,0,0,4,0,16,0,0,0,0,0,0,0,841,237,17,0,259,135,1231,80,33,11,5,46,24,149,64,21,0,4,23,18,106,201,26,0,4,30,64,301,97,33,4,0,38,35,169,146,37,0,0,37,31,215,101,22,0,0,22,31,155,30,12,0,0,10,4,44,12,0,0,0,0,8,17,3,0,0,0,0,0,4,730,184,12,16,208,211,1156,59,47,3,0,50,21,133,69,24,0,0,24,45,136,144,42,0,0,41,134,323,103,38,0,0,40,91,236,96,34,0,0,36,93,223,117,25,0,0,25,64,207,34,4,0,0,10,11,56,5,0,0,0,0,0,11,5,0,0,0
LGA55040,280,29,3,0,28,95,406,225,22,0,0,22,104,350,395,51,3,0,55,192,640,278,50,3,3,57,107,442,274,29,0,0,29,96,397,151,11,0,0,11,32,205,34,0,0,0,0,10,51,12,6,0,0,4,3,15,7,0,0,0,0,4,10,1654,203,11,6,215,637,2510,186,14,3,4,20,32,232,83,5,0,0,9,29,121,232,21,0,0,27,101,355,157,32,0,0,35,58,246,159,19,0,0,19,58,230,99,11,0,0,16,28,143,47,3,0,0,3,15,63,6,4,0,0,4,4,12,8,0,0,0,0,0,7,973,110,8,6,118,322,1406,185,27,3,5,31,40,265,99,20,0,0,20,79,205,177,35,0,0,38,136,351,129,35,0,0,35,100,265,120,23,3,0,27,63,216,110,18,0,0,19,52,180,63,8,0,0,8,11,81,17,0,0,0,0,5,26,0,0,0,0
LGA55110,11705,519,120,22,661,776,13148,7710,310,22,3,342,456,8501,6302,463,31,12,505,447,7260,7318,678,50,0,733,506,8548,8132,447,32,9,479,460,9077,8289,316,36,10,361,450,9099,7274,243,21,3,270,367,7910,4278,148,18,5,177,350,4804,1338,50,13,0,63,151,1553,62352,3178,351,59,3590,3969,69909,12853,810,185,31,1028,675,14552,8161,542,23,12,571,461,9190,7309,860,49,14,918,572,8802,7523,1108,66,17,1194,564,9276,8959,770,60,10,841,640,10444,9121,427,36,7,469,632,10224,9075,347,33,11,391,645,10113,5361,213,16,3,243,481,6079,1805,79,13,3,89,224,2123,70172,5157,483,97,5743,4899,80808,13764,1019,168,42,1223,687,15677,8356,621,17,3,644,467,9464,7727,829,43,10,883,573,9182,8022,1244,63,10,1316,628,9972,9238,985,73,4,1064,675,10978,10762,562,70,0,634,560,11960,11542,433,49,0,479,489,12513,7124,210,30,0,242,488,7848,2233,83,10,0
LGA55180,1871,43,9,0,54,69,1987,889,29,4,0,33,27,953,736,26,7,0,38,33,809,1103,56,6,0,60,43,1204,1320,82,0,0,83,63,1472,1175,73,0,0,78,55,1301,742,54,7,0,62,35,840,373,48,12,0,61,25,456,129,11,12,0,25,3,156,8342,431,61,5,494,346,9182,1536,46,8,0,64,131,1731,891,31,3,0,31,68,991,695,70,15,0,79,68,844,874,42,3,3,55,85,1014,1215,72,6,0,77,104,1402,1252,74,3,4,77,106,1436,919,51,3,0,63,80,1063,435,51,6,3,61,80,577,139,12,0,4,19,41,198,7946,454,57,15,532,775,9253,1302,71,14,3,96,84,1484,811,41,0,0,39,70,927,718,115,14,0,130,58,907,789,69,11,0,85,71,944,1052,60,11,3,76,123,1246,1337,61,5,0,61,102,1510,1088,50,8,0,58,65,1213,569,29,3,0,36,42,647,179,21,11,0
LGA55250,173,18,0,5,22,54,250,127,12,4,0,12,35,173,194,27,0,0,25,59,278,143,15,0,0,16,45,200,174,22,0,0,22,41,228,129,3,0,0,8,18,156,52,6,0,0,6,6,60,16,0,0,0,4,0,16,5,0,0,0,0,0,3,1003,104,8,3,113,256,1380,129,19,4,0,18,34,187,64,6,0,0,6,36,105,149,29,0,0,29,55,229,113,16,0,0,16,41,170,120,6,0,0,6,29,150,105,5,0,0,5,24,137,59,6,0,0,6,9,69,10,0,0,0,0,3,7,3,0,0,0,0,4,6,751,86,4,0,87,227,1066,134,16,3,0,19,22,174,101,11,5,0,19,46,165,130,55,3,0,62,85,270,100,21,0,0,26,46,166,87,20,0,0,20,47,154,103,18,0,0,18,30,155,57,4,0,0,5,17,81,13,7,0,0,7,9,31,0,0,0,0
LGA55320,13342,1827,404,69,2305,553,16195,11034,2724,107,45,2869,474,14381,7604,2442,124,20,2583,426,10614,9556,2301,174,26,2502,474,12531,11079,2364,247,23,2631,400,14109,9780,2043,234,11,2296,394,12476,5929,990,189,14,1190,250,7371,4494,531,184,10,722,266,5482,2032,185,93,8,295,222,2539,74851,15390,1770,226,17386,3462,95700,13367,2294,543,57,2885,542,16793,10258,2314,125,16,2455,440,13163,7605,2883,224,15,3120,597,11320,8596,3004,210,17,3229,500,12323,10300,2401,247,12,2663,560,13518,9768,2125,289,22,2433,501,12700,7262,1444,235,13,1695,418,9375,4365,671,206,6,882,415,5664,2381,245,103,5,357,485,3221,73906,17377,2171,161,19713,4460,98076,13874,3061,444,132,3639,399,17909,10392,2004,40,0,2040,316,12738,7938,2467,96,5,2567,454,10955,8991,3775,198,3,3972,441,13403,10414,2660,240,0,2907,429,13754,10168,2094,323,0,2414,407,12993,9097,1929,397,7,2339,320,11756,5267,895,237,8,1138,271,6676,2598,315,147,5
LGA55390,35,31,11,0,38,4,77,19,33,0,0,36,0,55,27,30,7,0,30,0,59,19,25,6,0,29,0,50,33,21,0,0,24,9,63,36,15,0,0,19,0,55,14,5,3,0,11,0,22,7,0,0,0,0,0,8,0,0,0,0,0,0,0,181,159,30,0,192,16,386,17,29,7,0,39,0,61,30,30,0,0,28,3,65,50,34,6,0,34,11,99,30,32,5,4,40,7,82,47,19,4,0,23,10,85,41,14,4,0,14,7,64,19,5,7,0,13,3,32,4,0,3,0,3,0,9,0,0,0,0,0,0,0,237,165,33,4,203,52,490,10,13,3,0,21,0,29,41,9,0,0,9,24,77,60,15,0,0,16,38,115,51,22,0,0,22,37,108,45,15,0,0,15,22,82,42,4,4,0,12,14,70,22,7,0,0,4,12,40,6,0,0,0,0,4,11,0,0,0,0
LGA55460,647,18,0,0,22,37,711,367,68,19,0,84,21,467,362,14,0,0,14,13,396,404,28,3,0,25,28,458,407,22,0,0,24,22,462,362,14,3,0,13,0,376,220,10,0,0,10,3,232,129,5,0,0,11,4,149,29,0,0,0,0,5,41,2937,176,27,4,212,135,3286,594,30,6,0,33,33,653,362,82,31,0,116,32,503,347,27,0,0,27,26,404,318,20,0,0,24,32,375,394,16,3,0,20,32,450,394,16,0,0,13,31,440,268,11,0,0,9,32,307,130,5,0,0,5,18,149,61,0,0,0,5,5,68,2864,208,41,0,250,238,3353,500,22,8,0,29,59,588,291,11,0,0,15,42,349,303,23,0,0,23,48,373,286,28,0,0,31,54,370,338,17,0,0,18,41,398,372,22,3,0,30,50,449,318,8,0,0,12,41,368,137,0,0,0,4,24,160,55,3,0,0
LGA55530,107,0,0,0,0,9,117,32,0,0,0,0,0,38,53,0,0,0,0,0,52,64,0,0,0,0,0,69,67,0,0,0,0,0,67,70,0,0,0,0,5,77,35,0,0,0,0,7,35,14,0,0,0,0,3,21,0,0,0,0,0,0,0,452,5,0,0,5,21,477,83,0,0,0,0,11,87,38,0,0,0,0,0,36,57,0,0,0,0,3,64,54,0,0,0,0,3,57,55,3,0,0,3,3,58,75,4,0,0,4,12,82,37,0,0,0,0,0,38,19,0,0,0,0,0,23,5,0,0,0,0,0,5,411,6,0,0,6,35,459,69,0,0,0,5,7,78,22,0,0,0,0,3,27,35,0,0,0,0,3,38,42,0,0,0,0,8,48,47,0,0,0,0,8,55,53,0,0,0,0,21,75,47,0,0,0,0,9,52,24,0,0,0,0,3,34,4,0,0,0
LGA55600,512,10,3,0,15,26,553,262,17,0,0,17,17,293,268,12,0,0,12,13,292,314,10,0,0,10,18,345,341,12,0,0,12,9,359,304,8,0,0,5,15,320,172,4,0,0,4,5,177,80,5,0,0,5,6,96,41,0,0,0,0,4,46,2293,74,3,0,82,108,2478,453,15,3,0,16,45,514,233,8,0,0,8,19,261,201,16,0,0,16,25,245,268,17,0,0,17,38,322,317,13,0,0,13,29,358,280,8,0,0,8,36,325,218,5,0,0,5,24,242,102,3,0,0,4,12,124,45,0,0,0,0,3,47,2118,84,4,0,87,224,2433,362,16,0,0,17,54,437,193,16,0,0,13,30,234,198,12,0,0,12,29,244,202,10,0,0,13,27,235,269,11,4,0,17,43,324,291,6,0,0,11,34,337,236,5,0,0,5,33,268,131,0,0,0,0,17,149,48,0,0,0
