LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA57910,47,63,102,394,1159,1299,373,98,77,71,3699,0,0,21,64,76,372,842,1308,509,168,135,63,3567,0,0,12,36,33,129,374,684,353,127,78,21,1855,6,0,17,24,27,101,339,748,520,262,228,50,2314,8,0,15,20,13,47,147,458,419,331,635,47,2138,13,4,26,32,47,76,348,592,345,170,180,100,1931,6,12,59,30,13,22,51,36,19,10,9,124,399,194,295,1808,1361,1110,2970,7242,8143,3184,1344,1478,924,30044
LGA57980,0,0,5,32,58,113,58,24,33,4,345,0,0,4,8,0,15,40,111,79,57,37,0,347,0,0,0,0,0,7,15,42,39,25,29,3,156,0,0,0,0,5,9,26,57,93,53,59,3,309,4,0,0,0,0,7,11,45,95,108,246,7,518,0,0,3,3,0,6,10,21,38,40,31,4,147,0,0,9,3,0,6,3,0,4,0,7,15,40,30,44,200,77,67,252,375,614,522,342,481,79,3087
LGA58050,18,32,22,103,470,632,142,21,11,32,1495,3,0,3,10,15,75,345,599,180,23,13,29,1302,0,0,12,10,6,31,130,295,130,20,7,11,651,0,0,7,11,10,31,110,281,153,38,15,11,660,0,3,7,7,4,12,53,139,107,49,32,20,433,3,3,15,9,21,54,195,355,122,31,21,59,892,6,5,25,12,9,11,23,16,6,3,5,74,201,74,81,629,541,350,1045,3187,3905,1100,225,149,485,11773
LGA58190,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,3,0,0,0,0,0,8,32
LGA58260,0,4,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,9,11,5,12,0,0,0,0,0,0,16,60
LGA58330,0,0,0,5,4,6,0,0,0,3,25,0,0,0,0,0,0,10,7,0,0,0,4,19,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,14,8,22,37,61,41,4,4,0,18,211
LGA58400,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,6,0,0,0,0,0,0,0,28
LGA58470,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,0,0,0,0,0,0,0,0,13,37
LGA58510,9,13,26,95,202,322,92,36,16,20,831,0,0,7,12,32,64,176,386,144,53,15,20,912,0,0,7,6,12,17,69,179,97,41,20,14,457,0,0,3,0,10,20,61,204,175,64,33,11,577,5,0,9,4,6,11,28,129,143,90,99,19,537,0,0,8,11,8,23,60,129,91,41,32,21,422,0,0,18,9,3,12,8,0,3,4,0,28,89,47,54,375,368,338,745,1284,1993,910,357,244,203,6932
LGA58540,0,4,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,23,14,12,5,0,0,0,0,0,19,79
LGA58570,0,11,24,71,142,355,140,46,23,16,826,0,0,9,6,13,36,118,364,227,76,29,7,895,0,0,0,5,3,11,34,181,157,48,22,12,487,0,0,8,10,7,10,41,220,255,107,66,5,721,0,0,3,0,11,0,25,139,203,134,217,5,759,0,0,3,9,7,10,34,122,138,51,39,18,430,3,3,9,3,0,10,5,8,10,4,4,19,75,25,35,256,224,201,495,877,1996,1373,525,439,158,6599
LGA58610,0,4,0,7,0,0,0,0,0,0,18,0,0,0,3,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,4,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,19,40,18,29,19,0,3,0,0,13,151
LGA58680,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,5,0,0,0,0,5,23
LGA58760,18,26,32,85,482,902,264,38,19,49,1928,0,4,13,20,15,56,370,843,352,78,34,23,1806,0,0,5,6,9,31,165,422,237,57,16,26,980,0,0,8,3,8,17,119,410,306,89,33,27,1019,3,0,3,5,5,14,57,236,241,87,62,25,738,0,3,12,18,23,42,210,552,291,63,36,65,1312,9,3,15,4,8,14,28,37,5,0,4,69,189,71,83,555,537,381,1058,3797,5829,2152,502,244,522,15726
LGA58820,0,0,5,5,12,6,0,0,0,0,29,0,0,0,0,0,4,13,4,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,3,3,0,4,0,0,0,5,23,0,0,0,0,0,6,6,5,3,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,7,11,6,0,14,20,33,63,76,30,4,3,0,26,284
LGA58890,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,17,0,0,0,0,0,0,0,7,52
LGA59030,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,23
LGA59100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,5,9,0,0,0,0,0,6,42
LGA59170,0,0,4,4,3,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,3,5,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,18,7,15,15,8,0,0,0,0,5,81
LGA59250,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,17,6,0,0,0,6,0,0,0,18,56
LGA59310,0,3,3,4,0,0,0,0,0,3,20,0,0,0,5,0,0,0,0,0,0,0,5,11,0,0,3,0,0,0,3,0,0,0,0,3,7,0,0,3,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,5,5,3,36,34,15,24,12,4,0,0,0,17,152
LGA59320,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,3,3,0,0,0,0,0,0,26
LGA59330,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,4,6,0,0,0,0,0,3,50
LGA59340,17,32,16,21,21,32,11,4,3,15,189,0,5,23,22,12,21,21,32,19,0,10,31,192,3,0,10,11,5,6,10,22,14,7,4,12,108,0,4,8,10,22,11,11,23,15,13,9,21,149,5,0,11,7,15,11,15,12,18,14,26,20,162,7,8,12,12,5,12,11,28,7,11,3,14,131,3,4,15,0,4,0,4,5,0,0,0,15,44,101,84,181,157,127,140,168,202,98,54,77,199,1586
LGA59350,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,4,0,0,0,0,0,0,12,39
LGA59360,4,5,0,0,0,0,0,0,0,11,19,0,0,5,3,6,0,0,0,0,0,0,12,30,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,30,29,16,9,0,3,0,0,5,36,140
LGA59370,0,3,0,7,12,0,0,0,0,3,30,4,0,6,0,3,6,13,9,0,0,0,7,40,0,0,0,0,4,0,3,0,0,0,0,0,16,0,0,0,0,0,5,5,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,33,24,21,43,67,41,0,0,0,14,243
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
