Table_Number,Year,Measure,Age,Indigenous_Status,Remoteness,Service_Type,Client_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
19A.16,2019-20,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per support day,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$/day,36.89,40.61,45.83,52.2,37.94,44.92,41.69,41.78,41.02
19A.16,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,248.6,355.1,149.1,80.2,71.7,32.7,25.1,38.7,1001.3
19A.16,2018-19,Recurrent expenditure,All ages,All people,All areas,,,,Total support days,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,7163.0,9375.0,3527.0,1690.0,1981.0,761.0,569.0,967.0,26033.0
19A.16,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per support day,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$/day,34.71,37.88,42.29,47.46,36.19,43.01,44.15,40.02,38.46
19A.16,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,234.5,329.9,141.9,81.1,72.1,32.1,22.9,39.7,954.1
19A.16,2017-18,Recurrent expenditure,All ages,All people,All areas,,,,Total support days,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,6806.0,8901.0,3204.0,1563.0,1987.0,709.0,566.0,932.0,24668.0
19A.16,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per support day,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$/day,34.45,37.06,44.3,51.87,36.26,45.21,40.47,42.58,38.68
19A.16,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,219.3,294.0,136.3,80.6,70.9,27.4,22.2,37.1,887.8
19A.16,2016-17,Recurrent expenditure,All ages,All people,All areas,,,,Total support days,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,6571.0,7813.0,3151.0,1564.0,2029.0,770.0,669.0,859.0,23425.0
19A.16,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per support day,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$/day,33.37,37.63,43.26,51.54,34.94,35.52,33.16,43.18,37.9
19A.17,2020-21,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,264.0,509.4,164.0,90.3,83.4,34.5,26.7,48.1,1220.3
19A.17,2020-21,Recurrent expenditure,All ages,All people,All areas,,,,Total closed support periods,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,80669.0,211011.0,49117.0,32564.0,28133.0,10775.0,4207.0,12720.0,429196.0
19A.17,2020-21,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per completed support period,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,3272.0,2414.0,3338.0,2774.0,2963.0,3202.0,6355.0,3778.0,2843.0
19A.17,2019-20,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,262.7,388.8,162.5,84.4,72.3,34.9,26.1,40.3,1072.0
19A.17,2019-20,Recurrent expenditure,All ages,All people,All areas,,,,Total closed support periods,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,80710.0,220927.0,51096.0,33471.0,27119.0,10906.0,4311.0,12320.0,440860.0
19A.17,2019-20,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per completed support period,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,3255.0,1760.0,3181.0,2522.0,2667.0,3196.0,6045.0,3270.0,2432.0
19A.17,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,248.6,355.1,149.1,80.2,71.7,32.7,25.1,38.7,1001.3
19A.17,2018-19,Recurrent expenditure,All ages,All people,All areas,,,,Total closed support periods,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,88792.0,208252.0,52273.0,32923.0,29324.0,11110.0,4152.0,11518.0,438344.0
19A.17,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per completed support period,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,2800.0,1705.0,2853.0,2436.0,2445.0,2946.0,6051.0,3359.0,2284.0
19A.17,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,234.5,329.9,141.9,81.1,72.1,32.1,22.9,39.7,954.1
19A.17,2017-18,Recurrent expenditure,All ages,All people,All areas,,,,Total closed support periods,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,92448.0,211476.0,50489.0,31066.0,29555.0,11099.0,4755.0,11497.0,442385.0
19A.17,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per completed support period,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,2536.0,1560.0,2811.0,2610.0,2438.0,2888.0,4817.0,3451.0,2157.0
19A.17,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,219.3,294.0,136.3,80.6,70.9,27.4,22.2,37.1,887.8
19A.17,2016-17,Recurrent expenditure,All ages,All people,All areas,,,,Total closed support periods,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,93302.0,193516.0,50184.0,31782.0,31994.0,13529.0,5538.0,11070.0,430916.0
19A.17,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Cost per completed support period,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,2350.0,1519.0,2716.0,2536.0,2216.0,2022.0,4006.0,3351.0,2060.0
19A.18,2020-21,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,264.0,509.4,164.0,90.3,83.4,34.5,26.7,48.1,1220.3
19A.18,2020-21,Recurrent expenditure,All ages,All people,All areas,,,,Total clients,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,70588.0,105510.0,41227.0,24470.0,18610.0,6567.0,4012.0,10122.0,278275.0
19A.18,2020-21,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Estimated cost per client,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,3739.0,4828.0,3977.0,3692.0,4479.0,5254.0,6664.0,4748.0,4385.0
19A.18,2019-20,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,262.7,388.8,162.5,84.4,72.3,34.9,26.1,40.3,1072.0
19A.18,2019-20,Recurrent expenditure,All ages,All people,All areas,,,,Total clients,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,70372.0,115306.0,43094.0,24956.0,19218.0,6444.0,4143.0,10277.0,290462.0
19A.18,2019-20,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Estimated cost per client,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,3733.0,3372.0,3771.0,3382.0,3763.0,5409.0,6290.0,3919.0,3691.0
19A.18,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,248.6,355.1,149.1,80.2,71.7,32.7,25.1,38.7,1001.3
19A.18,2018-19,Recurrent expenditure,All ages,All people,All areas,,,,Total clients,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,73549.0,112919.0,43087.0,24871.0,19637.0,6623.0,3808.0,9646.0,290317.0
19A.18,2018-19,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Estimated cost per client,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,3380.0,3145.0,3462.0,3225.0,3651.0,4941.0,6597.0,4011.0,3449.0
19A.18,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,234.5,329.9,141.9,81.1,72.1,32.1,22.9,39.7,954.1
19A.18,2017-18,Recurrent expenditure,All ages,All people,All areas,,,,Total clients,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,71628.0,116872.0,41118.0,23739.0,19641.0,6508.0,4026.0,9285.0,288795.0
19A.18,2017-18,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Estimated cost per client,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,3273.0,2823.0,3452.0,3415.0,3669.0,4925.0,5690.0,4274.0,3304.0
19A.18,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Total real recurrent expenditure,,,,,,Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,219.3,294.0,136.3,80.6,70.9,27.4,22.2,37.1,887.8
19A.18,2016-17,Recurrent expenditure,All ages,All people,All areas,,,,Total clients,,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,74216.0,109901.0,41438.0,24626.0,20771.0,7789.0,4585.0,9187.0,288273.0
19A.18,2016-17,Recurrent expenditure,All ages,All people,All areas,,,2020-21 dollars,Estimated cost per client,,,,,,Derived from State and Territory governments (unpublished); AIHW (unpublished) Specialist Homelessness Services Collection; ABS Australian National Accounts: National Income Expenditure and Product,$,2955.0,2675.0,3290.0,3274.0,3413.0,3512.0,4838.0,4038.0,3080.0
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,37700.0,67302.0,22301.0,14836.0,11545.0,3750.0,2036.0,4854.0,162777.0
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,23.4,20.1,15.0,14.6,21.2,16.4,31.3,12.8,19.6
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.3,21.0,17.2,16.1,22.5,16.9,34.9,13.4,21.1
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,10835.0,6512.0,8112.0,7391.0,3061.0,550.0,311.0,4195.0,41445.0
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,17.0,14.6,10.4,8.4,13.9,16.1,28.4,9.1,12.7
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,18.5,14.4,11.5,8.7,14.5,15.5,26.7,9.6,13.5
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,4726.0,2859.0,1785.0,1204.0,1585.0,259.0,212.0,404.0,12791.0
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,36.6,34.8,26.9,26.8,27.4,44.3,42.8,17.9,32.6
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,41.3,40.4,33.4,33.4,32.0,44.3,53.5,21.9,38.2
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,1401.0,303.0,577.0,471.0,436.0,33.0,34.0,315.0,3493.0
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,29.8,32.2,19.0,19.1,20.5,46.9,39.3,12.9,24.8
19A.19,2020-21,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,33.2,31.8,22.6,22.2,24.1,53.1,35.7,16.5,28.0
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,38700.0,74038.0,23110.0,15638.0,10655.0,3929.0,2047.0,4845.0,171117.0
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,23.4,21.2,15.6,15.8,22.0,16.7,30.0,13.3,20.3
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.0,21.5,16.6,16.2,22.9,16.9,32.2,13.5,21.1
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,10789.0,6604.0,7989.0,7377.0,2650.0,591.0,291.0,4076.0,41117.0
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,17.6,16.3,11.2,10.7,16.0,15.9,19.5,9.7,13.9
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,18.5,16.5,11.6,10.4,16.4,15.3,23.4,9.4,14.2
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,5107.0,3220.0,2051.0,1352.0,1409.0,292.0,283.0,451.0,13867.0
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,32.9,39.0,24.6,27.7,29.0,47.3,38.2,19.0,32.2
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,38.0,40.7,30.0,30.6,31.6,40.7,50.4,21.8,36.1
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,1441.0,345.0,676.0,500.0,393.0,56.0,48.0,304.0,3656.0
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,28.5,31.0,18.4,19.7,24.9,44.2,28.9,14.7,24.8
19A.19,2019-20,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,31.4,33.2,21.1,20.2,23.7,44.2,47.4,15.5,26.9
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,41425.0,73083.0,23805.0,15472.0,11178.0,3854.0,2026.0,4875.0,173475.0
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,23.6,21.0,14.8,15.5,20.9,17.9,28.0,12.9,20.1
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.5,21.4,16.4,16.7,22.3,18.8,31.5,14.0,21.3
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,11200.0,6410.0,8134.0,6416.0,2736.0,542.0,325.0,4081.0,40382.0
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,18.1,15.8,10.3,9.0,14.7,15.6,20.0,10.0,13.5
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,18.8,15.7,11.1,9.1,15.4,16.1,22.3,10.3,14.0
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,5565.0,3689.0,2313.0,1389.0,1195.0,304.0,237.0,434.0,14748.0
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,34.8,32.9,23.5,24.4,26.7,47.8,34.4,21.1,31.1
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,40.9,34.4,29.9,29.4,33.0,43.1,45.9,24.3,36.0
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,1471.0,367.0,736.0,440.0,297.0,61.0,53.0,295.0,3619.0
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,28.7,23.6,18.1,18.0,23.7,43.4,27.1,19.5,24.0
19A.19,2018-19,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,Education and/or training assistance,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,Aboriginal and Torres Strait Islander clients,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,31.4,21.4,21.5,17.4,26.5,34.0,33.3,20.7,26.0
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,40418.0,77321.0,22898.0,14932.0,11220.0,3814.0,2187.0,4450.0,174962.0
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,22.3,20.0,14.7,17.6,22.4,16.8,29.4,14.0,19.8
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,,,,Economic participation; before and after support,15+ years old,All clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,24.4,20.9,16.4,18.4,23.5,17.7,32.4,15.0,21.1
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,10622.0,6581.0,7910.0,5786.0,2772.0,519.0,362.0,3642.0,39120.0
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,17.1,15.1,11.0,9.7,15.4,14.3,21.9,10.7,13.6
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Economic participation; before and after support,15+ years old,Aboriginal and Torres Strait Islander clients,,Labour force status 'employed' and/or enrolled in formal education/training,After support,AIHW (unpublished) Specialist Homelessness Services Collection,%,18.4,15.6,11.5,9.2,15.6,14.7,22.3,10.9,14.1
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,5480.0,3496.0,2226.0,1408.0,1160.0,277.0,259.0,456.0,14368.0
19A.19,2017-18,Achievement of employment; education and/or training on exit,15+ years old,All people,All areas,Education and/or training assistance,,,Economic participation; before and after support,15+ years old,Clients with a need for employment and/or education and/or training assistance,All clients,Labour force status 'employed' and/or enrolled in formal education/training,Before support,AIHW (unpublished) Specialist Homelessness Services Collection,%,34.8,34.6,25.0,28.6,28.3,45.2,37.0,22.8,32.2
