LGA_CODE_2021,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
LGA58330,0,14,0,14,0,9,0,9,0,5,0,3,0,0,0,3,0,4,0,6,0,11,0,14,0,4,0,6,8,44,0,50,0,3,0,3,0,5,0,4,3,4,0,6,0,7,0,7,6,8,0,10,0,4,0,7,0,3,0,3,4,36,4,47,0,15,0,15,0,12,0,13,0,9,0,17,0,8,0,12,4,11,0,16,0,16,0,21,0,3,0,10,18,79,4,96
LGA58400,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,5,9
LGA58470,0,9,0,9,0,3,0,3,0,3,0,3,3,0,0,5,0,3,5,8,3,6,0,9,0,3,0,3,3,28,5,36,0,3,0,3,0,4,0,4,0,3,0,9,0,5,0,5,0,4,0,7,0,0,0,6,0,0,0,0,9,21,0,26,0,11,0,11,0,7,0,8,0,6,0,6,3,8,0,4,5,12,5,16,0,11,0,16,0,0,0,5,10,52,5,62
LGA58510,0,29,0,30,3,32,0,36,3,66,0,65,5,30,0,39,3,26,3,27,0,32,8,42,0,18,5,15,20,221,19,263,0,22,0,22,0,35,0,34,10,38,10,59,9,21,4,37,10,34,0,46,9,15,3,29,0,17,8,27,39,182,36,256,3,50,4,54,5,60,0,75,14,102,10,128,12,55,9,72,11,53,3,79,7,52,17,73,0,27,13,43,59,404,61,522
LGA58540,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,11,0,8,0,4,0,3,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4,0,3,0,3,0,17,5,20
LGA58570,0,6,0,5,0,12,0,17,0,34,0,34,5,15,0,22,4,16,0,17,3,10,0,13,0,9,3,16,10,101,0,122,0,8,0,12,0,18,0,18,0,34,0,40,3,20,0,25,7,13,0,16,0,14,0,14,0,12,0,8,16,120,0,139,0,12,0,16,0,34,0,35,8,66,0,72,3,42,0,47,8,28,0,33,3,23,0,28,4,17,3,22,31,224,5,255
LGA58610,0,5,0,5,0,5,0,5,0,3,0,3,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,3,0,19,0,21,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,3,9,0,10,0,0,0,0,0,3,3,8,0,3,0,0,0,3,0,4,0,0,0,8,10,27,3,32
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,9,0,0,10
LGA58760,11,198,9,220,5,140,5,157,14,228,10,255,24,157,4,189,21,98,7,124,20,86,5,109,12,44,3,61,108,957,42,1110,14,171,10,199,18,142,7,162,58,266,13,327,47,154,5,202,35,126,7,169,27,114,9,142,10,64,11,80,199,1039,50,1288,27,369,23,418,22,284,8,315,72,494,21,587,71,311,7,393,54,227,9,292,47,191,11,253,19,114,15,142,307,1999,98,2401
LGA58820,0,12,0,13,0,6,0,6,0,7,0,7,0,7,0,6,4,8,0,12,0,6,0,10,0,4,0,4,0,56,0,57,0,10,0,10,0,8,0,8,0,9,0,12,0,10,0,10,4,4,0,7,0,6,0,10,0,3,0,6,3,42,3,54,0,21,0,19,0,12,0,12,0,12,0,18,0,17,0,18,4,17,0,22,0,13,0,16,0,6,0,4,10,97,6,106
LGA58890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,0,3,0,10,0,11,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,4,0,4,0,0,0,0,0,4,0,4,0,10,0,10,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,9,0,18,0,19
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,3,0,0,4
LGA59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,6
LGA59170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,10
LGA59250,0,6,0,6,0,6,0,6,4,8,0,8,0,5,0,5,0,5,0,4,0,3,0,3,0,7,0,8,0,43,0,48,0,8,0,8,0,5,0,0,0,5,3,12,0,5,0,8,4,6,0,8,0,7,0,7,0,6,0,7,10,42,4,49,0,10,0,10,0,11,0,10,0,13,3,18,3,15,0,18,4,11,6,17,0,13,0,13,0,15,0,19,12,81,5,99
LGA59310,0,4,0,4,0,0,0,0,0,7,0,7,0,6,0,3,0,0,0,0,0,4,0,4,0,8,0,8,0,22,0,26,0,0,0,0,0,5,0,5,0,9,0,9,0,0,0,0,0,4,0,4,0,3,0,8,0,0,0,3,7,16,0,20,0,3,0,3,0,5,0,5,0,16,0,16,5,6,0,5,0,6,0,6,0,5,0,6,0,6,0,9,3,43,0,47
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7
LGA59330,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,11,0,8,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,5,0,5,5,15,0,21
LGA59340,10,86,9,99,7,69,11,87,20,134,13,169,20,130,17,164,14,99,8,122,5,71,7,83,9,51,8,62,89,636,64,784,11,83,15,104,21,87,6,116,34,146,13,190,30,136,13,177,39,110,6,159,17,78,4,99,3,55,5,73,158,695,66,915,18,165,24,204,30,148,19,198,55,279,24,354,52,262,26,340,53,209,24,283,26,150,15,182,15,110,8,130,241,1331,133,1700
LGA59350,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,11,0,10,0,0,0,5,0,0,0,0,0,23,0,22,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,10,0,10,0,4,0,4,0,7,0,7,4,24,0,24,0,4,0,4,0,0,0,0,0,14,0,13,0,3,0,3,3,13,0,17,0,5,0,5,0,7,0,7,5,44,0,46
LGA59360,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,3,0,3,0,3,0,3,0,6,0,0,0,15,0,21
LGA59370,0,7,0,7,0,3,0,3,0,12,0,15,0,8,0,8,0,3,0,3,0,6,0,5,0,3,0,9,3,37,3,44,0,3,0,5,0,0,0,6,0,11,0,7,4,7,0,12,3,0,0,9,0,5,0,10,0,8,0,11,10,35,4,56,0,12,0,9,0,3,0,9,0,14,0,21,4,12,0,13,3,7,0,10,0,14,0,14,0,9,0,13,15,73,4,94
LGA59499,5,11,17,28,4,25,31,61,4,26,100,124,6,33,173,212,4,26,162,189,0,14,75,95,0,6,36,46,21,136,589,749,7,17,19,42,5,23,32,61,0,22,96,124,6,17,127,151,4,19,98,118,4,7,51,61,0,4,36,40,34,105,453,597,8,23,37,68,14,46,60,119,7,48,195,247,15,46,294,356,5,38,257,306,4,19,127,156,0,15,72,84,56,243,1046,1349
LGA59799,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,9,0,9
